source,target
/book-a-demo,https://go.scoopanalytics.com/signup
/schedule-demo,https://go.scoopanalytics.com/signup
/free-trial,https://go.scoopanalytics.com/signup
/quick-reads,/blog
/deep-dives,/blog
/kpi-library,/blog
/industry-case-studies,/use-case
/analysis-pages,/use-case
/analysis-pages/competitive-analysis,/use-case
/analysis-pages/empowerment-framework,/use-case
/solutions,/our-solutions
/features,/product
/ai,/ai-data
/agencies,/our-solutions/agencies
/our-solutions,/
/type-of-companies,/
/competitors/link,/comparison
/competitors/snowflake-cortex-vs-tableau-pulse-vs-scoop,/comparison
/competitors/tellius-vs-zenlytic-vs-scoop,/comparison
/competitors/sisense-vs-thoughtspot-vs-scoop,/comparison
/competitors/tellius-vs-thoughtspot-vs-scoop,/comparison
/embed/,/
/blog-category/,/blog
/watch?v,/
/static-html-test,/
/blog/rtest,/blog
/blog/segment-and-cluster-discovery-your-ai-data-scientists-first-superpower-2,/blog
/recipes/how-specialty-fashion-brands-optimized-product-positioning-and-revenue-growth-with-ai-driven-data-analysis,/industry-case-studies
/industry-case-studies/how-research-study-teams-optimized-participant-consent-rates-with-ai-driven-data-analysis-5403e,/use-case
/industry-case-studies/how-digital-media-agencies-optimized-revenue-forecasting-with-ai-driven-data-analysis-e22ae,/use-case
/industry-case-studies/how-media-production-teams-optimized-vendor-procurement-with-ai-driven-data-analysis-dc64d,/use-case
/industry-case-studies/how-saas-sales-teams-optimized-pipeline-conversion-with-ai-driven-data-analysis-3b351,/use-case
/industry-case-studies/how-wine-producers-optimized-product-segmentation-with-ai-driven-data-analysis-664ab,/use-case
/industry-case-studies/how-professional-networks-optimized-mentorship-engagement-with-ai-driven-data-analysis-c8288,/use-case
/industry-case-studies/how-facilities-management-teams-optimized-security-risk-mitigation-with-ai-driven-data-analysis-df1e8,/use-case
/industry-case-studies/how-healthcare-manufacturing-teams-optimized-performance-and-costs-with-ai-driven-data-analysis-6b74a,/use-case
/marketingsolution,/solutions/marketing
